scenario,placement,capacity,n,serviceable_rate,mean_benefit_network_vs_lake,mean_benefit_network_vs_rerun,mean_repair_source_speedup_vs_lake,mean_break_even_storage_gbps,mean_ft_tax,mean_stalled_request_pct_max,mean_T_network_repair_path,mean_T_data_lake_path,mean_T_request_rerun_path,mean_network_repair_us,mean_data_lake_reload_us,mean_recovery_bytes,network_repair_win_rate
node1_fail_join,lazarus,16,76,1.0,174.61888510935103,0.8500203313003072,209.65413533834587,1663.157894736842,231.52970896640196,25.0,4128020.5257091383,393537850.47992265,2048483.3952670326,3763747.6567578944,393173577.6109714,386547056640.0,0.3157894736842105
node1_fail_join,lazarus,32,76,1.0,167.7539119738139,0.4124733705398965,184.28975758459305,1461.9072782995213,2218.3408195597253,25.0,8899927.465983948,786690479.5135736,2027534.817946656,8556603.174353082,786347155.2219428,773094113280.0,0.15789473684210525
node1_fail_join,lazarus,48,72,1.0,227.78407819740934,0.38549478830748407,248.49260636702385,1976.6457324649625,3632.8737667613095,25.0,9271162.243081145,1118882667.3972414,1923626.6219270192,8947535.621154124,1118559040.7753143,1112203591680.0,0.16666666666666666
node1_fail_join,uniform,16,61,1.0,153.429571362964,0.7043918605755979,180.49648711943797,1363.9344262295083,259.91577167660836,25.0,4770838.26739613,410704089.7971984,2045425.081087933,4404101.71089836,410337353.2407007,386547056640.0,0.26229508196721313
node1_fail_join,uniform,32,4,1.0,58.74783440949,0.238541171204047,61.142857142857146,400.0,21266.6562693222,25.0,16103145.469970059,946024921.7296271,3841263.20437006,15461882.2656,945383658.5252571,773094113280.0,0.0
rank4_fail_join,lazarus,16,76,1.0,49.19821353627375,0.2499108087021891,52.41353383458647,415.7894736842105,205.81332962388174,6.25,3875862.9955437756,98405509.74152873,533167.9703648281,3763747.6567578944,98293394.40274285,96636764160.0,0.0
rank4_fail_join,lazarus,32,76,1.0,50.83185502652913,0.12696886738052884,52.41353383458647,415.7894736842105,1863.472431603936,6.25,7618223.4010423655,196677516.8930123,511780.71910552395,7527495.313515789,196586788.8054857,193273528320.0,0.0
rank4_fail_join,lazarus,48,72,1.0,71.62981140566436,0.14078033285506233,74.05882979911715,589.1043279475227,2621.2811481804038,6.25,6625884.214788818,243941881.44267452,483608.835588818,6542275.3792,243858272.6070857,242472714240.0,0.0
rank4_fail_join,uniform,16,76,1.0,49.19821353627375,0.2499108087021891,52.41353383458647,415.7894736842105,205.81332962388174,6.25,3875862.9955437756,98405509.74152873,533167.9703648281,3763747.6567578944,98293394.40274285,96636764160.0,0.0
rank4_fail_join,uniform,32,76,1.0,50.852922661198164,0.12649187823743185,52.41353383458647,415.7894736842105,11071.033674141456,6.25,7613290.329278675,196672583.8212486,506847.6473418331,7527495.313515789,196586788.8054857,193273528320.0,0.0
rank4_fail_join,uniform,48,72,1.0,153.50635340398534,0.25521415572068373,163.42857142857144,1300.0,291.2551018444294,6.25,3642143.6602785187,291665718.3638213,498795.6410785186,3543348.0192,291566922.7227428,289910292480.0,0.0
