scenario,placement,storage_read_gbps,network_us,lake_us,benefit,break_even_gbps,n,network_ms,lake_ms,break_even_tbps
node1_fail_join,lazarus,3.5,7502948.633053071,1709930611.3719645,423.7615214839301,1672.5150242366465,76,7502.948633053071,1709930.6113719644,1.6725150242366464
node1_fail_join,lazarus,14.0,7183326.897867364,433064063.30236226,110.48151139514434,1744.4605861704254,72,7183.326897867364,433064.0633023623,1.7444605861704254
node1_fail_join,lazarus,50.0,7502948.633053071,120020606.7114172,29.74002309611752,1672.5150242366465,76,7502.948633053071,120020.6067114172,1.6725150242366464
node1_fail_join,uniform,3.5,5717351.858584042,957566470.0812124,308.6308655122238,1266.6666666666667,24,5717.351858584042,957566.4700812123,1.2666666666666668
node1_fail_join,uniform,14.0,4407181.232471572,221232469.50346583,87.30622586660445,1440.0,20,4407.181232471572,221232.46950346584,1.44
node1_fail_join,uniform,50.0,6193983.187409319,68133547.26329502,20.996661959681127,1219.047619047619,21,6193.983187409319,68133.54726329503,1.219047619047619
rank4_fail_join,lazarus,3.5,6130673.639230246,401812167.524343,127.43112210207607,464.9803140886914,76,6130.6736392302455,401812.167524343,0.4649803140886914
rank4_fail_join,lazarus,14.0,5815997.7283658935,101498178.24371828,33.261268897713165,485.2569982047298,72,5815.997728365894,101498.17824371828,0.48525699820472984
rank4_fail_join,lazarus,50.0,6130673.639230246,28217525.29868288,8.948091994575279,464.9803140886914,76,6130.6736392302455,28217.52529868288,0.4649803140886914
rank4_fail_join,uniform,3.5,5186691.976386711,436055873.53187543,186.20189987594887,689.4736842105264,76,5186.691976386711,436055.87353187543,0.6894736842105263
rank4_fail_join,uniform,14.0,4819900.219663604,110537452.37692074,48.77528597291874,722.2222222222222,72,4819.900219663604,110537.45237692074,0.7222222222222222
rank4_fail_join,uniform,50.0,5186691.976386711,30617419.38691303,13.06814230884929,689.4736842105264,76,5186.691976386711,30617.419386913032,0.6894736842105263
